NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|34672011|48372023,690520018,R RIO GRANDE,LOTE 8 QUADRA 1A,SP,3520707,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2140|2117.5|885,1780|743|1950|1927.5|840,5,Greenfield,não,027331703519|012720905344,16.16|14.1|13.52,27|25|26|20,66.76|66.56|68,2|1,44,040952002519|057731705894|008881101882|039721705894,60|80|72.44,-19.97941,-50.28849,2023-07-05,2008-07-31,2028-03-31,20240503,1,5.0,inf
CLARO,50409105090,46622011|97692014|34672011|48372023,690520018,R RIO GRANDE,LOTE 8 QUADRA 1A,SP,3520707,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2140|2117.5|885,1780|743|1950|1927.5|840,140,Greenfield,não,027331703519|012720905344,16.16|14.1|13.52,27|25|26|20,66.76|66.56|68,0|1,44,040952002519|057731705894|008881101882|039721705894,60|80|72.44,-19.97941,-50.28849,2023-07-05,2008-07-31,2028-03-31,20240503,2,140.0,inf
CLARO,50409105090,46622011|97692014|34672011|48372023,690520018,R RIO GRANDE,LOTE 8 QUADRA 1A,SP,3520707,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2140|2117.5|885,1780|743|1950|1927.5|840,275,Greenfield,não,027331703519|012720905344,16.16|14.1|13.52,27|25|26|20,66.76|66.56|68,1|3,44,040952002519|057731705894|008881101882|039721705894,60|80|72.44,-19.97941,-50.28849,2023-07-05,2008-07-31,2028-03-31,20240503,4,275.0,inf
