NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|59592012|29332016|48372023|34672011,690345488,R HENRIQUE PEDRO FERREIRA,,SP,3508900,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2625|2117.5|2140|885,1780|2520|2505|1927.5|1950|840,10,Greenfield,não,056001603518|009371303519,14.3|14.5|14.7|14.89,25,65|59|53|65.28,0,50,040952002519|043341501882|008881101882,60|40|72.44,-22.01534,-51.23583,2023-06-23,2008-05-26,2028-03-31,20240503,1,10.0,inf
CLARO,50409105090,46622011|59592012|29332016|48372023|34672011,690345488,R HENRIQUE PEDRO FERREIRA,,SP,3508900,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2625|2117.5|2140|885,1780|2520|2505|1927.5|1950|840,110,Greenfield,não,056001603518|009371303519,14.3|14.5|14.7|14.89,25,65|59|53|65.28,0,50,040952002519|043341501882|008881101882,60|40|72.44,-22.01534,-51.23583,2023-06-23,2008-05-26,2028-03-31,20240503,2,110.0,inf
CLARO,50409105090,46622011|59592012|29332016|48372023|34672011,690345488,R HENRIQUE PEDRO FERREIRA,,SP,3508900,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2625|2117.5|2140|885,1780|2520|2505|1927.5|1950|840,235,Greenfield,não,056001603518|009371303519,14.3|14.5|14.7|14.89,25,65|59|53|65.28,0,50,040952002519|043341501882|008881101882,60|40|72.44,-22.01534,-51.23583,2023-06-23,2008-05-26,2028-03-31,20240503,3,235.0,inf
