NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|97812014|48352023,695522680,Rua Maria Antônia Campos 295 Centro,-,SP,3507159,200KG7W|10M0G7W|5M00G7W,GSM|LTE,956.25|778|1812.5|1822.5|1830,911.25|723|1717.5|1727.5|1735,135,Greenfield,não,056001603518,11.96|16.15,25,74|65,-7,43,018000703903|031191601350|007591301882,20|40,-24.31742,-49.14372,2024-03-29,2011-06-08,2031-03-11|2029-12-08|2038-04-30,20240503,2,135.0,inf
TIM,50010613854,47102015|97812014|48352023,695522680,Rua Maria Antônia Campos 295 Centro,-,SP,3507159,200KG7W|10M0G7W|5M00G7W,GSM|LTE,956.25|778|1812.5|1822.5|1830,911.25|723|1717.5|1727.5|1735,210,Greenfield,não,056001603518,11.96|16.15,25,74|65,-7,43,018000703903|031191601350|007591301882,20|40,-24.31742,-49.14372,2024-03-29,2011-06-08,2031-03-11|2029-12-08|2038-04-30,20240503,3,210.0,inf
TIM,50010613854,47102015|97812014|48352023,695522680,Rua Maria Antônia Campos 295 Centro,-,SP,3507159,200KG7W|10M0G7W|5M00G7W,GSM|LTE,956.25|778|1812.5|1822.5|1830,911.25|723|1717.5|1727.5|1735,270,Greenfield,não,056001603518,11.96|16.15,25,74|65,-7,43,018000703903|031191601350|007591301882,20|40,-24.31742,-49.14372,2024-03-29,2011-06-08,2031-03-11|2029-12-08|2038-04-30,20240503,4,270.0,inf
