NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014,686171179,R FRANCISCO VIEIRA RIBEIRO,AO LADO DO 38,SP,3553609,200KG7W|10M0G7W,GSM|LTE,1875|798,1780|743,10,Greenfield,não,056001603518,14.3|13,25|23,65|67,0,41,006091702519|057731705894,79.43|80,-21.47027,-46.7519,2023-12-01,2005-02-25,2028-03-31,20240503,1,10.0,inf
CLARO,50409105090,46622011|97692014,686171179,R FRANCISCO VIEIRA RIBEIRO,AO LADO DO 38,SP,3553609,200KG7W|10M0G7W,GSM|LTE,1875|798,1780|743,150,Greenfield,não,056001603518,14.3|13,25|23,65|67,0,41,006091702519|057731705894,79.43|80,-21.47027,-46.7519,2023-12-01,2005-02-25,2028-03-31,20240503,2,150.0,inf
CLARO,50409105090,46622011|97692014,686171179,R FRANCISCO VIEIRA RIBEIRO,AO LADO DO 38,SP,3553609,200KG7W|10M0G7W,GSM|LTE,1875|798,1780|743,250,Greenfield,não,056001603518,14.3|13,25|23,65|67,0,41,006091702519|057731705894,79.43|80,-21.47027,-46.7519,2023-12-01,2005-02-25,2028-03-31,20240503,3,250.0,inf
