NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|48422023|97432014|48412023,687472547,RUA SETE DE SETEMBRO,,SP,3525805,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,874.5|890.75|1862.5|788|1867.5|2160,829.5|845.75|1767.5|733|1772.5|1970,60,Greenfield,não|sim,005200301293|024731703257|012720905344,16.7|17.8|14.7|18.3|15.5,34|25|22,65|66|68,0|2,23|27,000910502519|083071803257|048811903257|008041101882|000081201882,35|40,-22.012481,-49.788871,2024-01-02,2005-09-27,2032-12-22,20240103,1,60.0,inf
VIVO,50409146447,155832022|48422023|97432014|48412023,687472547,RUA SETE DE SETEMBRO,,SP,3525805,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,890.75|874.5|1862.5|788|1867.5|2160,845.75|829.5|1767.5|733|1772.5|1970,170,Greenfield,não|sim,005200301293|024731703257|012720905344,16.7|17.8|14.7|18.3|15.5,34|25|22,65|66|68,0|2,23|27,000910502519|083071803257|048811903257|008041101882|000081201882,35|40,-22.012481,-49.788871,2024-01-02,2005-09-27,2032-12-22,20240103,2,170.0,inf
VIVO,50409146447,155832022|48422023|97432014|48412023,687472547,RUA SETE DE SETEMBRO,,SP,3525805,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,890.75|874.5|1862.5|788|1867.5|2160,845.75|829.5|1767.5|733|1772.5|1970,290,Greenfield,não|sim,038801200762|005200301293|024731703257|012720905344,17.8|14.7|18.3|15.5,25|22,65|66|68,2|1|0,23|27,000910502519|083071803257|048811903257|008041101882|000081201882,14.5|40,-22.012481,-49.788871,2024-01-02,2005-09-27,2032-12-22,20240103,4,290.0,inf
