NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014,1014290934,R NATALE PAZIN,,SP,3540309,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,885|798,840|743,90,,,056001603518,14|13,23,62|67,-2,35,039721705894|057731705894,80,-20.18301,-49.70431,2023-04-11,2022-10-28,2028-03-31|2029-12-08,20240503,2,90.0,inf
CLARO,50409105090,46622011|97692014,1014290934,R NATALE PAZIN,,SP,3540309,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,885|798,840|743,190,,,056001603518,14|13,23,62|67,-2,35,039721705894|057731705894,80,-20.18301,-49.70431,2023-04-11,2022-10-28,2028-03-31|2029-12-08,20240503,3,190.0,inf
CLARO,50409105090,46622011|97692014,1014290934,R NATALE PAZIN,,SP,3540309,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,885|798,840|743,340,,,056001603518,14|13,23,62|67,-2,35,039721705894|057731705894,80,-20.18301,-49.70431,2023-04-11,2022-10-28,2028-03-31|2029-12-08,20240503,4,340.0,inf
