NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014,684046890,RUA PIO AVELINO,PATROCINIO PAULISTA,SP,3536307,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,150,Greenfield,,056001603518,11.96|16.15,25,74|65,-7,60,000790401592|032121203903|057731705894|006091702519|027191702519,20|40,-20.641028,-47.280472,2023-09-11,2003-11-20,2029-12-08,20240503,2,150.0,inf
TIM,50010613854,47102015|48352023|97812014,684046890,RUA PIO AVELINO,PATROCINIO PAULISTA,SP,3536307,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,260,Greenfield,,056001603518,11.96|16.15,25,74|65,-7,60,000790401592|032121203903|057731705894|006091702519|027191702519,20|40,-20.641028,-47.280472,2023-09-11,2003-11-20,2029-12-08,20240503,3,260.0,inf
TIM,50010613854,47102015|48352023|97812014,684046890,RUA PIO AVELINO,PATROCINIO PAULISTA,SP,3536307,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,350,Greenfield,,056001603518,11.96|16.15,25,74|65,-7,60,000790401592|032121203903|057731705894|006091702519|027191702519,20|40,-20.641028,-47.280472,2023-09-11,2003-11-20,2029-12-08,20240503,4,350.0,inf
