NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|97432014|48422023,399669485,RUA FREDERICO ROSE,,SP,3547601,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|890.75|788|1867.5|1862.5,829.5|845.75|733|1772.5|1767.5,110,Greenfield,não|sim,005200301293|024731703257|026960904280,15.5|14.9|15.8,34|25|30,65|63.3|63|71,2|3,70|65,000910502519|048811903257|083071803257|010641001882,32.5|40,-21.488936,-47.365667,2023-12-13,1999-12-10,2028-11-29|2029-12-08|2032-12-22,20240103,2,110.0,inf
VIVO,50409146447,155832022|97432014|48422023,399669485,RUA FREDERICO ROSE,,SP,3547601,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,890.75|874.5|788|1867.5|1862.5,845.75|829.5|733|1772.5|1767.5,230,Greenfield,não|sim,005200301293|024731703257|026960904280,15.5|14.9|15.8,34|25|30,65|63.3|63|71,2|0,70|65,000910502519|048811903257|083071803257|010641001882,32.5|40,-21.488936,-47.365667,2023-12-13,1999-12-10,2028-11-29|2029-12-08|2032-12-22,20240103,3,230.0,inf
VIVO,50409146447,155832022|97432014|48422023,399669485,RUA FREDERICO ROSE,,SP,3547601,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,890.75|874.5|788|1867.5|1862.5,845.75|829.5|733|1772.5|1767.5,350,Greenfield,não|sim,005200301293|024731703257|026960904280,15.5|14.9|15.8,34|25|30,65|63.3|63|71,2|1,70|65,000910502519|048811903257|083071803257|010641001882,32.5|40,-21.488936,-47.365667,2023-12-13,1999-12-10,2028-11-29|2029-12-08|2032-12-22,20240103,4,350.0,inf
