NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|59072012|48412023,690138512,RUA CAPITÃO CAMILO,,SP,3533601,200KG7W|20M0G7W|5M00G7W|5M00D9W,GSM|LTE|WCDMA,1862.5|1867.5|2680|2160,1767.5|1772.5|2560|1970,110|150,Greenfield,não,043061703257|013201105080,16.7|17.8|16.9|17.5,26|27,65|60|63|88,4|2,43.5|45,029381003257|028951303257|022461003257|011060703257,66.8|40,-20.729283,-47.749828,2023-09-20,2008-04-28,2032-12-22|2027-10-18|2038-04-30,20240103,2,110.0,inf
VIVO,50409146447,48422023|59072012|48412023,690138512,RUA CAPITÃO CAMILO,,SP,3533601,200KG7W|20M0G7W|5M00G7W|5M00D9W,GSM|LTE|WCDMA,1862.5|1867.5|2680|2160,1767.5|1772.5|2560|1970,230|240,Greenfield,não,043061703257|013201105080,16.7|17.8|16.9|17.5,26|27,65|60|63|88,3|2,43.5|45,029381003257|028951303257|022461003257|011060703257,66.8|40,-20.729283,-47.749828,2023-09-20,2008-04-28,2032-12-22|2027-10-18|2038-04-30,20240103,3,230.0,inf
VIVO,50409146447,48422023|59072012|48412023,690138512,RUA CAPITÃO CAMILO,,SP,3533601,200KG7W|20M0G7W|5M00G7W|5M00D9W,GSM|LTE|WCDMA,1862.5|1867.5|2680|2160,1767.5|1772.5|2560|1970,340|350,Greenfield,não,043061703257|013201105080,16.7|17.8|16.9|17.5,26|27,65|60|63|88,3|2,43.5|45,029381003257|028951303257|022461003257|011060703257,66.8|40,-20.729283,-47.749828,2023-09-20,2008-04-28,2032-12-22|2027-10-18|2038-04-30,20240103,4,340.0,inf
