NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|48372023|59592012|29332016|34672011,695583859,R FERNANDO DA COSTA,,SP,3548302,200KG7W|10M0G7W|5M00G7W|20M0G7W|5M00D7W,GSM|LTE|WCDMA,1875|2117.5|2640|2625|2140|885,1780|1927.5|2520|2505|1950|840,0|50,Greenfield,,027331703519|012720905344,16.16|17.05|13.52,27|26|28|20,66.76|65.49|68,1|0,50,040952002519|056351705894|039721705894|008881101882,60|40|80|72.44,-21.84965,-51.39585,2023-08-22,2011-10-18,2028-03-31,20240503,1,0.0,inf
CLARO,50409105090,46622011|48372023|59592012|29332016|34672011,695583859,R FERNANDO DA COSTA,,SP,3548302,200KG7W|10M0G7W|5M00G7W|20M0G7W|5M00D7W,GSM|LTE|WCDMA,1875|2117.5|2640|2625|2140|885,1780|1927.5|2520|2505|1950|840,125|150,Greenfield,,027331703519|012720905344,16.16|17.05|13.52,27|26|28|20,66.76|65.49|68,0,50,040952002519|056351705894|039721705894|008881101882,60|40|80|72.44,-21.84965,-51.39585,2023-08-22,2011-10-18,2028-03-31,20240503,2,125.0,inf
CLARO,50409105090,46622011|48372023|59592012|29332016|34672011,695583859,R FERNANDO DA COSTA,,SP,3548302,200KG7W|10M0G7W|5M00G7W|20M0G7W|5M00D7W,GSM|LTE|WCDMA,1875|2117.5|2640|2625|2140|885,1780|1927.5|2520|2505|1950|840,205|220,Greenfield,,027331703519|012720905344,16.16|17.05|13.52,27|26|28|20,66.76|65.49|68,0,50,040952002519|056351705894|039721705894|008881101882,60|40|80|72.44,-21.84965,-51.39585,2023-08-22,2011-10-18,2028-03-31,20240503,3,205.0,inf
