NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|59592012,686171284,"R PORTO ALEGRE, 533, CENTRO",,SP,3528601,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|890,1870|2630|880,50,Greenfield,sim,027331703519,16.16|17.05|14.1,27.0|28.0|25.0,66.76|65.49|66.56,1.0,49.0,012111805894|056351705894|039721705894,20.0|40.0|80.0,-23.00444,-49.31194,2005-02-25,2005-02-25,2028-03-31|2027-10-18,20240503,1,50.0,inf
CLARO,50409105090,46622011|59592012,686171284,"R PORTO ALEGRE, 533, CENTRO",,SP,3528601,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|890,1870|2630|880,200,Greenfield,sim,027331703519,16.16|17.05|14.1,27.0|28.0|25.0,66.76|65.49|66.56,2.0,49.0,012111805894|056351705894|039721705894,20.0|40.0|80.0,-23.00444,-49.31194,2005-02-25,2005-02-25,2028-03-31|2027-10-18,20240503,3,200.0,inf
CLARO,50409105090,46622011|59592012,686171284,"R PORTO ALEGRE, 533, CENTRO",,SP,3528601,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|890,1870|2630|880,270,Greenfield,sim,027331703519,16.16|17.05|14.1,27.0|28.0|25.0,66.76|65.49|66.56,2.0,49.0,012111805894|056351705894|039721705894,20.0|40.0|80.0,-23.00444,-49.31194,2005-02-25,2005-02-25,2028-03-31|2027-10-18,20240503,4,270.0,inf
