NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,41662008,687388732,"RUA JOÃO NOGUEIRA DE SOUZA,S/N,CENTRO",,SP,3556958,200KG7W,GSM,880|891.5,869|890,115,,,007290201293,15.0,30.0,65.00,.00,60.0,009180401065,10.000,-20.19528,-50.48444,2012-08-13,2005-08-24,2024-01-20,20240103,2,115.0,0.010345
VIVO,50409146447,41662008,687388732,"RUA JOÃO NOGUEIRA DE SOUZA,S/N,CENTRO",,SP,3556958,200KG7W,GSM,880|891.5,869|890,340,,,005380301537,17.0,25.0,45.22,.00,45.0,009180401065,10.000,-20.19528,-50.48444,2012-08-13,2005-08-24,2024-01-20,20240103,4,340.0,0.010345
VIVO,50409146447,41662008|97432014|48422023,689110588,Rua João Nogueira de Souza,,SP,3556958,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|890.75|788|1867.5|1862.5,829.5|845.75|733|1772.5|1767.5,100|125,Greenfield,não|sim,002000703518|024731703257,14.5|14.7|15.5|16.7,28|22|25,65|68|45,8|1,56|60,000910502519|048811903257|083071803257|000081201882,32.5|40,-20.195386,-50.484603,2023-09-19,2007-05-04,2024-01-20|2029-12-08|2032-12-22,20240103,2,125.0,0.010345
VIVO,50409146447,41662008|97432014|48422023,689110588,Rua João Nogueira de Souza,,SP,3556958,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|890.75|788|1867.5|1862.5,829.5|845.75|733|1772.5|1767.5,200|210,Greenfield,não|sim,002000703518|024731703257,14.5|14.7|15.5|16.7,28|22|25,65|68|45,8|0,56|58,000910502519|048811903257|083071803257|000081201882,32.5|40,-20.195386,-50.484603,2023-09-19,2007-05-04,2024-01-20|2029-12-08|2032-12-22,20240103,3,210.0,0.010345
VIVO,50409146447,97432014|48422023|41662008,689110588,Rua João Nogueira de Souza,,SP,3556958,10M0G7W|5M00G7W|200KG7W,LTE|WCDMA|GSM,788|1867.5|1862.5|874.5|890.75,733|1772.5|1767.5|829.5|845.75,350|355,Greenfield,não|sim,024731703257|002000703518,14.7|15.5|16.7|14.5,22|25|28,68|45|65,0|8,60|56,048811903257|083071803257|000081201882|000910502519,40|32.5,-20.195386,-50.484603,2023-09-19,2007-05-04,2029-12-08|2032-12-22|2024-01-20,20240103,4,350.0,0.010345
