NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|29272013|97812014|16992008,684836831,PRAÇA SENHOR DO BONFIM 7 CEMITÉRIO MUNICIPAL DE CUNHA ,,SP,3513603,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,957.5|1820|1825|1832.5|783|2135,955|1805|1820|1827.5|773|2125,0,Greenfield,sim,056001603518,11.96|16.15,25,74|65,7,59.7,000131201882|005311101882|031191601350|008041101882,85|65.77|40|60|88.1,-23.06972,-44.96028,2019-12-04,2004-10-04,2031-03-11|2023-04-30|2029-12-08,20240503,1,0.0,inf
TIM,50010613854,47102015|29272013|97812014|16992008,684836831,PRAÇA SENHOR DO BONFIM 7 CEMITÉRIO MUNICIPAL DE CUNHA ,,SP,3513603,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,957.5|1820|1825|1832.5|783|2135,955|1805|1820|1827.5|773|2125,140,Greenfield,sim,056001603518,11.96|16.15,25,74|65,7,59.7,000131201882|005311101882|031191601350|008041101882,85|65.77|40|60|88.1,-23.06972,-44.96028,2019-12-04,2004-10-04,2031-03-11|2023-04-30|2029-12-08,20240503,2,140.0,inf
TIM,50010613854,47102015|29272013|97812014|16992008,684836831,PRAÇA SENHOR DO BONFIM 7 CEMITÉRIO MUNICIPAL DE CUNHA ,,SP,3513603,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,957.5|1820|1825|1832.5|783|2135,955|1805|1820|1827.5|773|2125,230,Greenfield,sim,056001603518,11.96|16.15,25,74|65,7,59.7,000131201882|005311101882|031191601350|008041101882,85|65.77|40|60|88.1,-23.06972,-44.96028,2019-12-04,2004-10-04,2031-03-11|2023-04-30|2029-12-08,20240503,3,230.0,inf
