NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,physicalSector,Azimute_(Median),distance
VIVO,50409146447,166262022|48412023|48422023,687528275,RUA JOSÉ POLONI,,SP,3539905,10M0G7W|5M00G7W,LTE,1855|2150|2160|1862.5|1867.5,1760|1960|1970|1767.5|1772.5,10,,,056001603518,16.7|17.2,30,64|60,1,50,083071803257,40,-20.784667,-49.815639,2023-07-26,2005-10-05,2023-08-05,1,10.0,inf
VIVO,50409146447,166262022|48412023|48422023,687528275,RUA JOSÉ POLONI,,SP,3539905,10M0G7W|5M00G7W,LTE,1855|2150|2160|1862.5|1867.5,1760|1960|1970|1767.5|1772.5,110,,,056001603518,16.7|17.2,30,64|60,1,50,083071803257,40,-20.784667,-49.815639,2023-07-26,2005-10-05,2023-08-05,2,110.0,inf
VIVO,50409146447,166262022|48412023|48422023,687528275,RUA JOSÉ POLONI,,SP,3539905,10M0G7W|5M00G7W,LTE,1855|2150|2160|1862.5|1867.5,1760|1960|1970|1767.5|1772.5,240,,,056001603518,16.7|17.2,30,64|60,0,50,083071803257,40,-20.784667,-49.815639,2023-07-26,2005-10-05,2023-08-05,3,240.0,inf
