NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,97432014|48422023|155832022|48412023,687524563,AVENIDA ELYDIO MASSARENTI,,SP,3514205,10M0G7W|5M00G7W,LTE|WCDMA,788|1867.5|1862.5|874.5|2160,733|1772.5|1767.5|829.5|1970,90|110,Greenfield,não|sim,024731703257|002000703518,15.5|14.9|14.7|17.5,25,63.3|63|75.66|60.17,1|2,33|35,048811903257|083071803257|000081201882|008041101882,40,-20.123444,-50.514333,2023-12-28,2005-10-05,2028-11-29,20240103,2,90.0,inf
VIVO,50409146447,155832022|48412023|97432014|48422023,687524563,AVENIDA ELYDIO MASSARENTI,,SP,3514205,5M00G7W|10M0G7W,WCDMA|LTE,874.5|2160|788|1867.5|1862.5,829.5|1970|733|1772.5|1767.5,230|250,Greenfield,não|sim,002000703518|024731703257,14.7|17.5|15.5|14.9,25,75.66|60.17|63.3|63,2|5,35|33,000081201882|008041101882|048811903257|083071803257,40,-20.123444,-50.514333,2023-12-28,2005-10-05,2028-11-29,20240103,3,250.0,inf
VIVO,50409146447,97432014|48422023|155832022|48412023,687524563,AVENIDA ELYDIO MASSARENTI,,SP,3514205,10M0G7W|5M00G7W,LTE|WCDMA,788|1867.5|1862.5|874.5|2160,733|1772.5|1767.5|829.5|1970,340|350,Greenfield,não|sim,024731703257|002000703518,15.5|14.9|14.7|17.5,25,63.3|63|75.66|60.17,1|2,33|35,048811903257|083071803257|000081201882|008041101882,40,-20.123444,-50.514333,2023-12-28,2005-10-05,2028-11-29,20240103,4,340.0,inf
