NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
ALGAR,04030023541,22212023|77872023,1012074436,RUA FLORIANO PEIXOTO,,SP,3507803,200KG7W|5M00G7W,GSM|WCDMA,953.75|2130|874.5,908.75|1940|829.5,0|70,,,015070301293|009371303519,10.4|17.7|16.4,0|23|26,0|67|62,0,40,002920501171|011060703257|027610903257,70.79|49.1|67,-20.98829,-47.65792,2023-07-07,2021-07-05,2032-12-22,20240103,1,70.0,inf
ALGAR,04030023541,77872023|22212023,1012074436,RUA FLORIANO PEIXOTO,,SP,3507803,5M00G7W,WCDMA,2130|874.5,1940|829.5,185,,,009371303519,17.7|16.4,23|26,67|62,0,40,011060703257|027610903257,49.1|67,-20.98829,-47.65792,2023-07-07,2021-07-05,2032-12-22,20240103,3,185.0,inf
ALGAR,04030023541,77872023|22212023,1012074436,RUA FLORIANO PEIXOTO,,SP,3507803,5M00G7W,WCDMA,2130|874.5,1940|829.5,305,,,009371303519,17.7|16.4,23|26,67|62,0,40,011060703257|027610903257,49.1|67,-20.98829,-47.65792,2023-07-07,2021-07-05,2032-12-22,20240103,4,305.0,inf
