NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014,688961878,AVENIDA MARIA DAVINA DOS SANTOS,,SP,3553856,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,100,Greenfield,,056001603518,11.96|16.15,25,74|65,-1,64.5,000790401592|000780401350|007591301882|031191601350|006091702519|027191702519,20|40,-23.92868,-48.70222,2023-12-07,2007-02-01,2029-12-08,20240503,2,100.0,inf
TIM,50010613854,47102015|48352023|97812014,688961878,AVENIDA MARIA DAVINA DOS SANTOS,,SP,3553856,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,255,Greenfield,,056001603518,11.96|16.15,25,74|65,-5,64.5,000790401592|000780401350|007591301882|031191601350|006091702519|027191702519,20|40,-23.92868,-48.70222,2023-12-07,2007-02-01,2029-12-08,20240503,3,255.0,inf
TIM,50010613854,47102015|48352023|97812014,688961878,AVENIDA MARIA DAVINA DOS SANTOS,,SP,3553856,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,355,Greenfield,,056001603518,11.96|16.15,25,74|65,-2,64.5,000790401592|000780401350|007591301882|031191601350|006091702519|027191702519,20|40,-23.92868,-48.70222,2023-12-07,2007-02-01,2029-12-08,20240503,4,355.0,inf
