NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,97812014|48352023|69272020,1005998520,RUA ALVARO MENDES,0,SP,3536257,10M0G7W|5M00G7W,LTE|WCDMA,778|2130,723|1940,10,Greenfield,,056001603518,11.96|16.15,25,74|65,0,28,018591601350|016571601882|027191702519,40,-20.303389,-50.013444,2023-08-30,2018-03-26,2029-12-08|2023-04-30,20240503,1,10.0,inf
TIM,50010613854,97812014|48352023|69272020,1005998520,RUA ALVARO MENDES,0,SP,3536257,10M0G7W|5M00G7W,LTE|WCDMA,778|2130,723|1940,150,Greenfield,,056001603518,11.96|16.15,25,74|65,0,28,018591601350|016571601882|027191702519,40,-20.303389,-50.013444,2023-08-30,2018-03-26,2029-12-08|2023-04-30,20240503,2,150.0,inf
TIM,50010613854,97812014|48352023|69272020,1005998520,RUA ALVARO MENDES,0,SP,3536257,10M0G7W|5M00G7W,LTE|WCDMA,778|2130,723|1940,240,Greenfield,,056001603518,11.96|16.15,25,74|65,0,28,018591601350|016571601882|027191702519,40,-20.303389,-50.013444,2023-08-30,2018-03-26,2029-12-08|2023-04-30,20240503,3,240.0,inf
