NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|33992016|41662008,687528135,Rua Pedro de Toledo X Rua 9 de Julho,,SP,3534005,5M00G7W,LTE|WCDMA,1862.5|2140|874.5,1767.5|1950|829.5,360,Greenfield,sim,024731703257,14.9|15.3|15.8,25|24,63|62|61.3,1,30|29.5,083071803257|008041101882|010641001882,40,-20.607972,-49.295611,2023-07-26,2005-10-05,2023-08-05,0,360.0,inf
VIVO,50409146447,48422023|33992016|41662008,687528135,Rua Pedro de Toledo X Rua 9 de Julho,,SP,3534005,5M00G7W,LTE|WCDMA,1862.5|2140|874.5,1767.5|1950|829.5,100,Greenfield,sim,024731703257,14.9|15.3|15.8,25|24,63|62|61.3,3,30|29.5,083071803257|008041101882|010641001882,40,-20.607972,-49.295611,2023-07-26,2005-10-05,2023-08-05,2,100.0,inf
VIVO,50409146447,48422023|33992016|41662008,687528135,Rua Pedro de Toledo X Rua 9 de Julho,,SP,3534005,5M00G7W,LTE|WCDMA,1862.5|2140|874.5,1767.5|1950|829.5,225,Greenfield,sim,024731703257,14.9|15.3|15.8,25|24,63|62|61.3,5,30|29.5,083071803257|008041101882|010641001882,40,-20.607972,-49.295611,2023-07-26,2005-10-05,2023-08-05,3,225.0,inf
