NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
ALGAR,04030023541,22212023|77872023,1012109280,RUA CAPITAO CAMILO,,SP,3533601,200KG7W|5M00G7W|5M00G9W,GSM|LTE|WCDMA,1825|2130|874.5,1730|1940|829.5,60,,,028661005344,16.8|17|16.9,28|25,65|59|70,0,60,015121601350|007881401350|032341303903,60|60.53|65,-20.72998,-47.75121,2023-07-07,2021-07-12,2028-11-29,20240103,1,60.0,inf
ALGAR,04030023541,22212023|77872023,1012109280,RUA CAPITAO CAMILO,,SP,3533601,200KG7W|5M00G7W|5M00G9W,GSM|LTE|WCDMA,1825|2130|874.5,1730|1940|829.5,200,,,028661005344,16.8|17|16.9,28|25,65|59|70,0,60,015121601350|007881401350|032341303903,60|60.53|65,-20.72998,-47.75121,2023-07-07,2021-07-12,2028-11-29,20240103,3,200.0,inf
ALGAR,04030023541,22212023|77872023,1012109280,RUA CAPITAO CAMILO,,SP,3533601,200KG7W|5M00G7W|5M00G9W,GSM|LTE|WCDMA,1825|2130|874.5,1730|1940|829.5,320,,,028661005344,16.8|17|16.9,28|25,65|59|70,0,60,015121601350|007881401350|032341303903,60|60.53|65,-20.72998,-47.75121,2023-07-07,2021-07-12,2028-11-29,20240103,4,320.0,inf
