NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|48372023|34672011,1014290969,R FREDERICO RAIA,,SP,3551306,200KG7W|10M0G7W|15M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2117.5|2140,1780|743|1927.5|1950,40,,,056001603518,14.3|13|14.7,25|23,65|67|53,0,46,040952002519|057731705894,20|80,-20.65677,-49.92141,2024-04-22,2022-09-29,2028-03-31|2029-12-08|2038-04-30|2026-06-01,20240503,1,40.0,inf
CLARO,50409105090,97692014|48372023|34672011,1014290969,R FREDERICO RAIA,,SP,3551306,10M0G7W|15M0G7W|5M00G7W,LTE|WCDMA,798|2117.5|2140,743|1927.5|1950,220,,,056001603518,13|14.7,23|25,67|53,0,46,057731705894|040952002519,80|20,-20.65677,-49.92141,2024-04-22,2022-09-29,2029-12-08|2038-04-30|2026-06-01,20240503,3,220.0,inf
CLARO,50409105090,97692014|48372023|34672011,1014290969,R FREDERICO RAIA,,SP,3551306,10M0G7W|15M0G7W|5M00G7W,LTE|WCDMA,798|2117.5|2140,743|1927.5|1950,310,,,056001603518,13|14.7,23|25,67|53,0,46,057731705894|040952002519,80|20,-20.65677,-49.92141,2024-04-22,2022-09-29,2029-12-08|2038-04-30|2026-06-01,20240503,4,310.0,inf
