NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|97432014|48412023|41662008,687374340,RUA LÁZARO MACHADO DE OLIVEIRA,,SP,3555505,5M00G7W|10M0G7W|5M00G9W|200KG7W,LTE|WCDMA|GSM,1862.5|788|1867.5|2160|874.5|890.75,1767.5|733|1772.5|1970|829.5|845.75,10|30,Greenfield,não|sim,024731703257|012720905344|038801200762,13.86|14.83|13.5|17.8,25|20,68.89|70.26|68|65,0|2|5,26|25|22.3,083071803257|048811903257|001000901882|044961602519|000910502519,80|59.98|40|32.5,-22.526028,-49.663639,2023-07-26,2005-08-24,2032-12-22|2029-12-08|2038-04-30|2024-01-20,20240103,1,10.0,inf
VIVO,50409146447,48422023|97432014|48412023|41662008,687374340,RUA LÁZARO MACHADO DE OLIVEIRA,,SP,3555505,5M00G7W|10M0G7W|5M00G9W|200KG7W,LTE|WCDMA|GSM,1862.5|788|1867.5|2160|874.5|890.75,1767.5|733|1772.5|1970|829.5|845.75,130|150,Greenfield,não|sim,024731703257|012720905344|038801200762,13.86|14.83|13.5|17.8,25|20,68.89|70.26|68|65,0|2|5,26|25|22.3,083071803257|048811903257|001000901882|044961602519|000910502519,80|59.98|40|32.5,-22.526028,-49.663639,2023-07-26,2005-08-24,2032-12-22|2029-12-08|2038-04-30|2024-01-20,20240103,2,130.0,inf
VIVO,50409146447,48422023|97432014|48412023|41662008,687374340,RUA LÁZARO MACHADO DE OLIVEIRA,,SP,3555505,5M00G7W|10M0G7W|5M00G9W,LTE|WCDMA,1862.5|788|1867.5|2160|874.5,1767.5|733|1772.5|1970|829.5,250,Greenfield,não|sim,024731703257|012720905344,13.86|14.83|13.5,25|20,68.89|70.26|68,0|2,26|25,083071803257|048811903257|001000901882|044961602519,80|59.98|40,-22.526028,-49.663639,2023-07-26,2005-08-24,2032-12-22|2029-12-08|2038-04-30|2024-01-20,20240103,3,250.0,inf
VIVO,50409146447,41662008,687374340,RUA LÁZARO MACHADO DE OLIVEIRA,,SP,3555505,200KG7W,GSM,890.75|874.5,845.75|829.5,270,,,038801200762,17.8,25,65,5,22.3,000910502519,32.5,-22.526028,-49.663639,2023-07-26,2005-08-24,2024-01-20,20240103,4,270.0,inf
