NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|48372023|59592012,690982178,R ANTONIO DE TOLEDO,FUNDOS DO NUMERO 509,SP,3534203,200KG7W|5M00G7W|2M50G7W|20M0G7W,GSM|WCDMA|LTE,1875|2117.5|885|892.75|2640|953.75,1780|1927.5|840|847.75|2520|908.75,0|10|20,,,012720905344|008541105344|017960800324,16.2|17|13.5|16.8,20|34|33|32,65|71.05|68|67.81|69.42,2|0|5,53|50,006030301882|018151001882|010641001882|043341501882,35.5|60.2|63.5|40,-20.1836,-49.3528,2023-07-06,2008-12-18,2028-03-31,20240503,1,0.0,inf
CLARO,50409105090,59592012|48372023|46622011,690982178,R ANTONIO DE TOLEDO,FUNDOS DO NUMERO 509,SP,3534203,20M0G7W|5M00G7W|2M50G7W|200KG7W,LTE|WCDMA|GSM,2640|2117.5|892.75|885|1875,2520|1927.5|847.75|840|1780,120|130,,,012720905344|008541105344|017960800324,16.2|16.8|13.5|17,20|33|34|32,65|67.81|68|71.05|69.42,2|5|0,53|50,043341501882|018151001882|010641001882|006030301882,40|60.2|63.5|35.5,-20.1836,-49.3528,2023-07-06,2008-12-18,2028-03-31,20240503,2,120.0,inf
CLARO,50409105090,46622011|48372023|59592012,690982178,R ANTONIO DE TOLEDO,FUNDOS DO NUMERO 509,SP,3534203,200KG7W|2M50G7W|5M00G7W|20M0G7W,GSM|WCDMA|LTE,1875|892.75|2117.5|885|2640,1780|847.75|1927.5|840|2520,210|220,,,017960800324|012720905344|008541105344,17|13.5|16.2|16.8,32|20|33|34,69.42|68|65|67.81|71.05,0|2|5,50|53,006030301882|010641001882|018151001882|043341501882,35.5|63.5|60.2|40,-20.1836,-49.3528,2023-07-06,2008-12-18,2028-03-31,20240503,3,210.0,inf
