NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014,684830507,"R ANTÔNIO BOTELHO, 648, CENTRO",,SP,3529807,200KG7W|10M0G7W|5M00G7W|5M00D7W,GSM|LTE|WCDMA,955|1880|803|890|894,952.5|1870|793|880|891.5,150,Greenfield,não,012720905344|027331703519,13.52|16.16|14.1,20.0|27.0|25.0,68.0|66.76|66.56,0.0,50.0,037621705894|012111805894|057731705894|010641001882|039721705894,19.95|40.0|80.0|63.5,-22.41333,-48.45,2019-06-13,2004-10-18,2028-03-31|2029-12-08,20240503,2,150.0,inf
CLARO,50409105090,46622011|97692014,684830507,"R ANTÔNIO BOTELHO, 648, CENTRO",,SP,3529807,200KG7W|10M0G7W|5M00G7W|5M00D7W,GSM|LTE|WCDMA,955|1880|803|890|894,952.5|1870|793|880|891.5,250,Greenfield,não,012720905344|027331703519,13.52|16.16|14.1,20.0|27.0|25.0,68.0|66.76|66.56,0.0,50.0,037621705894|012111805894|057731705894|010641001882|039721705894,19.95|40.0|80.0|63.5,-22.41333,-48.45,2019-06-13,2004-10-18,2028-03-31|2029-12-08,20240503,3,250.0,inf
CLARO,50409105090,46622011|97692014,684830507,"R ANTÔNIO BOTELHO, 648, CENTRO",,SP,3529807,200KG7W|10M0G7W|5M00D7W|5M00G7W,GSM|LTE|WCDMA,955|1880|803|890|894,952.5|1870|793|880|891.5,340,Greenfield,não,012720905344|027331703519,13.52|16.16|14.1,20.0|27.0|25.0,68.0|66.76|66.56,0.0,50.0,037621705894|012111805894|057731705894|039721705894|010641001882,19.95|40.0|80.0|63.5,-22.41333,-48.45,2019-06-13,2004-10-18,2028-03-31|2029-12-08,20240503,4,340.0,inf
