NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014|69272020,683583921,AVENIDA JAMIL SAID A. SALEH,0,SP,3505609,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1822.5|1830|1812.5|778|2130,1727.5|1735|1717.5|723|1940,70,Greenfield,,056001603518,16.15|11.96,25,65|74,0,53.7,003531103903|031191601350|008041101882,20|40,-21.191556,-48.153389,2023-07-06,2003-09-09,2038-04-30|2023-04-30,20240503,1,70.0,inf
TIM,50010613854,47102015|48352023|97812014|69272020,683583921,AVENIDA JAMIL SAID A. SALEH,0,SP,3505609,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1822.5|1830|1812.5|778|2130,1727.5|1735|1717.5|723|1940,250,Greenfield,,056001603518,16.15|11.96,25,65|74,0,53.7,003531103903|031191601350|008041101882,20|40,-21.191556,-48.153389,2023-07-06,2003-09-09,2038-04-30|2023-04-30,20240503,3,250.0,inf
TIM,50010613854,47102015|48352023|97812014|69272020,683583921,AVENIDA JAMIL SAID A. SALEH,0,SP,3505609,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1822.5|1830|1812.5|778|2130,1727.5|1735|1717.5|723|1940,330,Greenfield,,056001603518,16.15|11.96,25,65|74,0,53.7,003531103903|031191601350|008041101882,20|40,-21.191556,-48.153389,2023-07-06,2003-09-09,2038-04-30|2023-04-30,20240503,4,330.0,inf
