NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|48412023,691878455,RUA TRINTA E SEIS,X AVENIDA TRINTA E TRÊS,SP,3517406,200KG7W|5M00D9W|5M00G9W,GSM|WCDMA,1862.5|1867.5|2160,1767.5|1772.5|1970,110,,,013201105080,17.5,23,88,2,39,029381003257|011060703257,66.8|49.1,-20.329194,-48.323778,2023-09-20,2009-11-16,2032-12-22|2038-04-30,20240103,2,110.0,inf
VIVO,50409146447,48422023|48412023,691878455,RUA TRINTA E SEIS,X AVENIDA TRINTA E TRÊS,SP,3517406,200KG7W|5M00D9W|5M00G9W,GSM|WCDMA,1862.5|1867.5|2160,1767.5|1772.5|1970,230,,,013201105080,17.5,23,88,2,39,029381003257|011060703257,66.8|49.1,-20.329194,-48.323778,2023-09-20,2009-11-16,2032-12-22|2038-04-30,20240103,3,230.0,inf
VIVO,50409146447,48422023|48412023,691878455,RUA TRINTA E SEIS,X AVENIDA TRINTA E TRÊS,SP,3517406,200KG7W|5M00G9W|5M00D9W,GSM|WCDMA,1867.5|1862.5|2160,1772.5|1767.5|1970,350,,,013201105080,17.5,23,88,2,39,029381003257|011060703257,66.8|49.1,-20.329194,-48.323778,2023-09-20,2009-11-16,2032-12-22|2038-04-30,20240103,4,350.0,inf
