NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022,534606148,RODOVIA BRIGADEIRO FARIA LIMA,KM 353 SP 326,SP,3553203,5M00G7W,WCDMA,874.5|890.75,829.5|845.75,160,,,000650501705,15.5,25,68,2,60,010641001882,40,-21.156761,-48.380806,2024-01-02,2000-09-15,2032-12-22,20240103,2,160.0,inf
VIVO,50409146447,155832022,534606148,RODOVIA BRIGADEIRO FARIA LIMA,KM 353 SP 326,SP,3553203,200KG7W|5M00G7W,GSM|WCDMA,874.5|890.75,829.5|845.75,180|250,,,005200301293|000650501705,16.7|15.5,34|25,65|68,0|2,56|60,000910502519|010641001882,35|40,-21.156761,-48.380806,2024-01-02,2000-09-15,2032-12-22,20240103,3,215.0,inf
VIVO,50409146447,155832022,534606148,RODOVIA BRIGADEIRO FARIA LIMA,KM 353 SP 326,SP,3553203,5M00G7W|200KG7W,WCDMA|GSM,874.5|890.75,829.5|845.75,340|350,,,000650501705|005200301293,15.5|16.7,25|34,68|65,2|0,60|56,010641001882|000910502519,40|35,-21.156761,-48.380806,2024-01-02,2000-09-15,2032-12-22,20240103,4,345.0,inf
