NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48392023|48352023|97812014,684366304,RUA FREDERICO OZANAN,SALESOPOLIS,SP,3545001,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|958.75|2117.5|778,911.25|913.75|1927.5|723,60,Greenfield,não,056001603518,11.96,35|27|25|32,90|57.68|74|62.48,-4,50,011560301882|008041101882|057731705894|005851101882,20|40,-23.53325,-45.844389,2024-01-17,2004-04-14,2031-03-11|2028-04-01|2038-04-30|2029-12-08,20240503,1,60.0,inf
TIM,50010613854,47102015|48392023|48352023|97812014,684366304,RUA FREDERICO OZANAN,SALESOPOLIS,SP,3545001,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|958.75|2117.5|778,911.25|913.75|1927.5|723,190,Greenfield,não,056001603518,11.96,35|27|25|32,90|57.68|74|62.48,-4,50,011560301882|008041101882|057731705894|005851101882,20|40,-23.53325,-45.844389,2024-01-17,2004-04-14,2031-03-11|2028-04-01|2038-04-30|2029-12-08,20240503,3,190.0,inf
TIM,50010613854,47102015|48392023|48352023|97812014,684366304,RUA FREDERICO OZANAN,SALESOPOLIS,SP,3545001,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|958.75|2117.5|778,911.25|913.75|1927.5|723,300,Greenfield,não,056001603518,11.96,35|27|25|32,90|57.68|74|62.48,-4,50,011560301882|008041101882|057731705894|005851101882,20|40,-23.53325,-45.844389,2024-01-17,2004-04-14,2031-03-11|2028-04-01|2038-04-30|2029-12-08,20240503,4,300.0,inf
