NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|48372023|34672011,1014800657,RUA PAULO CASTREQUINI,,SP,3530003,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,885|892.75|2117.5|2140,840|847.75|1927.5|1950,40,,,,13.8|16.9,23|22,70|62,0,36,039721705894|027191702519,80|60,-19.97889,-50.13718,2023-07-28,2023-03-28,2028-03-31,20240503,1,40.0,inf
CLARO,50409105090,46622011|48372023|34672011,1014800657,RUA PAULO CASTREQUINI,,SP,3530003,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,885|892.75|2117.5|2140,840|847.75|1927.5|1950,150,,,,13.8|16.9,23|22,70|62,0,36,039721705894|027191702519,80|60,-19.97889,-50.13718,2023-07-28,2023-03-28,2028-03-31,20240503,2,150.0,inf
CLARO,50409105090,46622011|48372023|34672011,1014800657,RUA PAULO CASTREQUINI,,SP,3530003,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,885|892.75|2117.5|2140,840|847.75|1927.5|1950,270,,,,13.8|16.9,23|22,70|62,0,36,039721705894|027191702519,80|60,-19.97889,-50.13718,2023-07-28,2023-03-28,2028-03-31,20240503,4,270.0,inf
