NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|155832022,699600880,RUA CAPITÃO WHITAKER,,SP,3520608,200KG7W|5M00G7W,GSM|WCDMA,1862.5|874.5|890.75|1867.5,1767.5|829.5|845.75|1772.5,90,,,026960904280,16,26,65,0,90,005311101882|000910502519|010641001882,66.8|32.5|63.5,-22.17675,-51.253992,2023-09-20,2014-02-12,2032-12-22|2028-11-29,20240103,2,90.0,inf
VIVO,50409146447,48422023|155832022,699600880,RUA CAPITÃO WHITAKER,,SP,3520608,200KG7W|5M00G7W,GSM|WCDMA,1867.5|1862.5|874.5|890.75,1772.5|1767.5|829.5|845.75,180,,,026960904280,16,26,65,0,90,005311101882|000910502519|010641001882,66.8|32.5|63.5,-22.17675,-51.253992,2023-09-20,2014-02-12,2032-12-22|2028-11-29,20240103,3,180.0,inf
VIVO,50409146447,48422023|155832022,699600880,RUA CAPITÃO WHITAKER,,SP,3520608,200KG7W|5M00G7W,GSM|WCDMA,1867.5|890.75|1862.5|874.5,1772.5|845.75|1767.5|829.5,270,,,026960904280,16,26,65,0,90,005311101882|000910502519|010641001882,66.8|32.5|63.5,-22.17675,-51.253992,2023-09-20,2014-02-12,2032-12-22|2028-11-29,20240103,4,270.0,inf
