NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,97432014|59072012|155832022,1002002637,Estrada Municipal Adoni Ribeiro,AO LADO DO 1050,SP,3511508,10M0G7W|20M0G7W|5M00G7W,LTE|WCDMA,788|2680|874.5,733|2560|829.5,120,,,005152003257|004170801705,14|17.5|14.9,21|24|26,66|59|85,3|2,59,048811903257|058221803257|000081201882,40,-23.208422,-47.793847,2023-11-22,2015-11-09,2029-12-08|2027-10-18|2028-11-29,20240503,2,120.0,2.55768
VIVO,50409146447,97432014|59072012|155832022,1002002637,Estrada Municipal Adoni Ribeiro,AO LADO DO 1050,SP,3511508,10M0G7W|20M0G7W|5M00G7W,LTE|WCDMA,788|2680|874.5,733|2560|829.5,220,,,005152003257|004170801705,14|17.5|14.9,21|24|26,66|59|85,3|2,59,048811903257|058221803257|000081201882,40,-23.208422,-47.793847,2023-11-22,2015-11-09,2029-12-08|2027-10-18|2028-11-29,20240503,3,220.0,2.55768
VIVO,50409146447,97432014|59072012|155832022,1002002637,Estrada Municipal Adoni Ribeiro,AO LADO DO 1050,SP,3511508,10M0G7W|20M0G7W|5M00G7W,LTE|WCDMA,788|2680|874.5,733|2560|829.5,350,,,005152003257|004170801705,14|17.5|14.9,21|24|26,66|59|85,3|2,59,048811903257|058221803257|000081201882,40,-23.208422,-47.793847,2023-11-22,2015-11-09,2029-12-08|2027-10-18|2028-11-29,20240503,4,350.0,2.55768
VIVO,50409146447,48412023|155832022,1002020414,Estrada Vicinal Francisco Bellucci,SÍTIO SANTA TEREZA,SP,3511508,5M00G7W,WCDMA,2160|874.5,1970|829.5,60,Greenfield,sim,038961403518,16.7|15.8,25,60|67,3,59,008041101882|000081201882,40,-23.182539,-47.749203,2023-11-22,2015-11-09,2038-04-30|2028-11-29,20240503,1,60.0,0.914595
VIVO,50409146447,97432014|59072012|48422023,1002020414,Estrada Vicinal Francisco Bellucci,SÍTIO SANTA TEREZA,SP,3511508,10M0G7W|20M0G7W|5M00G7W,LTE,788|2680|1867.5|1862.5,733|2560|1772.5|1767.5,90,Greenfield,sim,024731703257,14.7|16.7|15.5,22|25,68|60|45,2,60,048811903257|058221803257|083071803257,40,-23.182539,-47.749203,2023-11-22,2015-11-09,2029-12-08|2027-10-18|2032-12-22,20240503,2,90.0,0.914595
VIVO,50409146447,48412023|155832022|97432014|59072012|48422023,1002020414,Estrada Vicinal Francisco Bellucci,SÍTIO SANTA TEREZA,SP,3511508,5M00G7W|10M0G7W|20M0G7W,WCDMA|LTE,2160|874.5|788|2680|1867.5|1862.5,1970|829.5|733|2560|1772.5|1767.5,180|190,Greenfield,sim,038961403518|024731703257,16.7|15.8|14.7|15.5,25|22,60|67|68|45,3|2,59|60,008041101882|000081201882|048811903257|058221803257|083071803257,40,-23.182539,-47.749203,2023-11-22,2015-11-09,2038-04-30|2028-11-29|2029-12-08|2027-10-18|2032-12-22,20240503,3,190.0,0.914595
VIVO,50409146447,97432014|59072012|48422023|48412023|155832022,1002020414,Estrada Vicinal Francisco Bellucci,SÍTIO SANTA TEREZA,SP,3511508,10M0G7W|20M0G7W|5M00G7W,LTE|WCDMA,788|2680|1867.5|1862.5|2160|874.5,733|2560|1772.5|1767.5|1970|829.5,320,Greenfield,sim,024731703257|038961403518,14.7|16.7|15.5|15.8,22|25,68|60|45|67,2|3,60|59,048811903257|058221803257|083071803257|008041101882|000081201882,40,-23.182539,-47.749203,2023-11-22,2015-11-09,2029-12-08|2027-10-18|2032-12-22|2038-04-30|2028-11-29,20240503,4,320.0,0.914595
VIVO,50409146447,59072012|48422023|48412023|155832022,1008197090,Rua Antonio Belucci,Lt 29 Qd 2,SP,3511508,20M0G7W|5M00G7W,LTE|WCDMA,2680|1862.5|1867.5|2160|874.5,2560|1767.5|1772.5|1970|829.5,360,Greenfield,não,056001603518,16.1|15.4|16|15,25,56|68|67|63,5|6|10,59,045621602519|006091702519|027191702519|039721705894,40,-23.172194,-47.730328,2023-11-27,2019-02-26,2027-10-18|2032-12-22|2038-04-30|2028-11-29,20240503,0,360.0,1.088685
VIVO,50409146447,59072012|48422023|48412023|155832022,1008197090,Rua Antonio Belucci,Lt 29 Qd 2,SP,3511508,20M0G7W|5M00G7W,LTE|WCDMA,2680|1862.5|1867.5|2160|874.5,2560|1767.5|1772.5|1970|829.5,140,Greenfield,não,056001603518,16.1|15.4|16|15,25,56|68|67|63,5|9,59,045621602519|006091702519|027191702519|039721705894,40,-23.172194,-47.730328,2023-11-27,2019-02-26,2027-10-18|2032-12-22|2038-04-30|2028-11-29,20240503,2,140.0,1.088685
VIVO,50409146447,59072012|48422023|48412023|155832022,1008197090,Rua Antonio Belucci,Lt 29 Qd 2,SP,3511508,20M0G7W|5M00G7W,LTE|WCDMA,2680|1862.5|1867.5|2160|874.5,2560|1767.5|1772.5|1970|829.5,260,Greenfield,não,056001603518,16.1|15.4|16|15,25,56|68|67|63,5|6|11,59,045621602519|006091702519|027191702519|039721705894,40,-23.172194,-47.730328,2023-11-27,2019-02-26,2027-10-18|2032-12-22|2038-04-30|2028-11-29,20240503,3,260.0,1.088685
