NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,59592012|29332016|46622011,690965095,"R JACYRA MARCUSSI HUSSEIN, 417, CENTRO",,SP,3532108,20M0G7W|10M0G7W|5M00G7W|200KG7W,LTE|WCDMA|GSM,2650|2630|890|1880,2630|2620|880|1870,90|100,Greenfield,não,008541105344|012720905344|017960800324,16.85|13.52|17.03,33.74|20.0|32.0,67.81|68.0|69.42,2.0|0.0,60.0,043341501882|008881101882|006030301882,40.0|72.44|35.5,-20.99139,-51.27639,2016-09-21,2008-12-18,2027-10-18|2028-03-31,20240503,2,90.0,inf
CLARO,50409105090,59592012|29332016|46622011,690965095,"R JACYRA MARCUSSI HUSSEIN, 417, CENTRO",,SP,3532108,20M0G7W|10M0G7W|5M00G7W|200KG7W,LTE|WCDMA|GSM,2650|2630|890|1880,2630|2620|880|1870,180|190,Greenfield,não,008541105344|012720905344|017960800324,16.85|13.52|17.03,33.74|20.0|32.0,67.81|68.0|69.42,2.0|0.0,60.0,043341501882|008881101882|006030301882,40.0|72.44|35.5,-20.99139,-51.27639,2016-09-21,2008-12-18,2027-10-18|2028-03-31,20240503,3,180.0,inf
CLARO,50409105090,46622011|59592012|29332016,690965095,"R JACYRA MARCUSSI HUSSEIN, 417, CENTRO",,SP,3532108,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|2630|890,1870|2630|2620|880,310|330,Greenfield,não,017960800324|008541105344|012720905344,17.03|16.85|13.52,32.0|33.74|20.0,69.42|67.81|68.0,0.0|2.0,60.0,006030301882|043341501882|008881101882,35.5|40.0|72.44,-20.99139,-51.27639,2016-09-21,2008-12-18,2028-03-31|2027-10-18,20240503,4,330.0,inf
