NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|59592012|16952008,687308224,"RUA DEP.SILVIO CUNHA BUENO, 100, NOVA ERA",,SP,3544301,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|803|2650|2125|890,1870|793|2630|2110|880,40,Greenfield,não,027331703519|009371303519,16.16|14.1|17.05|17.08|14.89,27.0|25.0|28.0|30.0,66.76|66.56|65.49|72.66|65.28,0.0,61.0,012111805894|057731705894|056351705894|027191702519|039721705894|010641001882|018151001882,20.0|80.0|40.0|60.0|63.5|60.2,-22.8975,-45.30861,2020-04-17,2005-08-18,2028-03-31|2029-12-08|2027-10-18|2023-04-30,20240503,1,40.0,inf
CLARO,50409105090,46622011|97692014|59592012|16952008,687308224,"RUA DEP.SILVIO CUNHA BUENO, 100, NOVA ERA",,SP,3544301,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|803|2650|2125|890,1870|793|2630|2110|880,200,Greenfield,não,027331703519|009371303519,16.16|14.1|17.05|17.08|14.89,27.0|25.0|28.0|30.0,66.76|66.56|65.49|72.66|65.28,0.0,61.0,012111805894|057731705894|056351705894|027191702519|039721705894|010641001882|018151001882,20.0|80.0|40.0|60.0|63.5|60.2,-22.8975,-45.30861,2020-04-17,2005-08-18,2028-03-31|2029-12-08|2027-10-18|2023-04-30,20240503,3,200.0,inf
CLARO,50409105090,46622011|97692014|59592012|16952008,687308224,"RUA DEP.SILVIO CUNHA BUENO, 100, NOVA ERA",,SP,3544301,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|803|2650|2125|890,1870|793|2630|2110|880,290,Greenfield,não,027331703519|009371303519,16.16|14.1|17.05|17.08|14.89,27.0|25.0|28.0|30.0,66.76|66.56|65.49|72.66|65.28,0.0,61.0,012111805894|057731705894|056351705894|027191702519|010641001882|039721705894|018151001882,20.0|80.0|40.0|60.0|63.5|60.2,-22.8975,-45.30861,2020-04-17,2005-08-18,2028-03-31|2029-12-08|2027-10-18|2023-04-30,20240503,4,290.0,inf
