NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,97432014|48422023|166262022|48412023|155832022,1000809185,AVENIDA MARGINAL DA TORRE DE TV,,SP,3520442,10M0G7W|5M00G7W,LTE|WCDMA,788|1862.5|1867.5|1855|2150|2160|874.5,733|1767.5|1772.5|1760|1960|1970|829.5,160,Greenfield,não|sim,056001603518,13.5|16.7|17.2|14.1,25|30,63|64|60|59,3,58,048811903257|083071803257|000081201882|008041101882,40,-20.398836,-51.333858,2023-11-17,2016-07-29,2029-12-08|2032-12-22|2038-04-30|2028-11-29,20240503,2,160.0,1.5799949999999998
VIVO,50409146447,97432014|48422023|166262022|48412023|155832022,1000809185,AVENIDA MARGINAL DA TORRE DE TV,,SP,3520442,10M0G7W|5M00G7W,LTE|WCDMA,788|1862.5|1867.5|1855|2150|2160|874.5,733|1767.5|1772.5|1760|1960|1970|829.5,240,Greenfield,não|sim,056001603518,13.5|16.7|17.2|14.1,25|30,63|64|60|59,3,58,048811903257|083071803257|000081201882|008041101882,40,-20.398836,-51.333858,2023-11-17,2016-07-29,2029-12-08|2032-12-22|2038-04-30|2028-11-29,20240503,3,240.0,1.5799949999999998
VIVO,50409146447,97432014|48422023|166262022|48412023|155832022,1000809185,AVENIDA MARGINAL DA TORRE DE TV,,SP,3520442,10M0G7W|5M00G7W,LTE|WCDMA,788|1862.5|1867.5|1855|2150|2160|874.5,733|1767.5|1772.5|1760|1960|1970|829.5,350,Greenfield,não|sim,056001603518,13.5|16.7|17.2|14.1,25|30,63|64|60|59,2,58,048811903257|083071803257|000081201882|008041101882,40,-20.398836,-51.333858,2023-11-17,2016-07-29,2029-12-08|2032-12-22|2038-04-30|2028-11-29,20240503,4,350.0,1.5799949999999998
VIVO,50409146447,48422023|155832022|97432014|48412023|59072012,431055718,ALAMEDA GOIÁS,,SP,3520442,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1862.5|1867.5|890.75|874.5|788|2160|2680,1767.5|1772.5|845.75|829.5|733|1970|2560,30|40,Greenfield,não|sim,007690501705|005152003257|026960904280,15|14|17.3|17.5|17.2|16.5|15.8,26|21|25|24|30,81.69|66|68|59|69|65|71,2|0,62|60|55,005311101882|000910502519|048811903257|083071803257|058221803257|039201301882|000081201882,66.8|35|40,-20.425983,-51.343211,2023-12-17,1999-12-15,2032-12-22|2028-11-29|2029-12-08|2038-04-30|2027-10-18,20240503,1,40.0,1.5799949999999998
VIVO,50409146447,97432014|48412023|59072012|48422023|155832022,431055718,ALAMEDA GOIÁS,,SP,3520442,10M0G7W|20M0G7W|5M00G7W|200KG7W,LTE|GSM|WCDMA,788|2160|2680|1867.5|1862.5|874.5|890.75,733|1970|2560|1772.5|1767.5|829.5|845.75,120|140,Greenfield,não|sim,005152003257|007690501705|026960904280,14|17.3|17.5|17.2|15|16.5|15.8,21|25|24|26|30,66|68|59|69|81.69|65|71,0|1|2,60|62|55,048811903257|083071803257|058221803257|000910502519|005311101882|039201301882|000081201882,40|35|66.8,-20.425983,-51.343211,2023-12-17,1999-12-15,2029-12-08|2038-04-30|2027-10-18|2032-12-22|2028-11-29,20240503,2,140.0,1.5799949999999998
VIVO,50409146447,97432014|48412023|59072012|48422023|155832022,431055718,ALAMEDA GOIÁS,,SP,3520442,10M0G7W|20M0G7W|5M00G7W|200KG7W,LTE|WCDMA|GSM,788|2160|2680|1867.5|1862.5|874.5|890.75,733|1970|2560|1772.5|1767.5|829.5|845.75,220|260,Greenfield,não|sim,005152003257|026960904280|007690501705,14|17.3|17.5|17.2|16.5|15.8|15,21|25|24|26|30,66|68|59|69|65|71|81.69,1|0|2,60|55|62,048811903257|083071803257|058221803257|039201301882|000081201882|005311101882|000910502519,40|66.8|35,-20.425983,-51.343211,2023-12-17,1999-12-15,2029-12-08|2038-04-30|2027-10-18|2032-12-22|2028-11-29,20240503,3,220.0,1.5799949999999998
