NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|29332016|59592012,685077160,"R ELIO BOEIRA, 263, VIGORELLI",,SP,3509908,200KG7W|10M0G7W|20M0G7W|5M00D7W,GSM|LTE|WCDMA,1880|955|2630|2650|890,1870|952.5|2620|2630|880,0,Greenfield,não,027331703519|012720905344,16.16|13.52|17.05|14.1,27.0|20.0|28.0|25.0,66.76|68.0|65.49|66.56,2.0,59.3|62.5,012111805894|037621705894|056351705894|039721705894,20.0|19.95|40.0|80.0,-25.01,-47.93389,2019-04-15,2004-12-30,2028-03-31|2027-10-18,20240503,1,0.0,inf
CLARO,50409105090,46622011|29332016|59592012,685077160,"R ELIO BOEIRA, 263, VIGORELLI",,SP,3509908,200KG7W|10M0G7W|20M0G7W|5M00D7W,GSM|LTE|WCDMA,1880|955|2630|2650|890,1870|952.5|2620|2630|880,90,Greenfield,não,027331703519|012720905344,16.16|13.52|17.05|14.1,27.0|20.0|28.0|25.0,66.76|68.0|65.49|66.56,2.0,59.3|62.5,012111805894|037621705894|056351705894|039721705894,20.0|19.95|40.0|80.0,-25.01,-47.93389,2019-04-15,2004-12-30,2028-03-31|2027-10-18,20240503,2,90.0,inf
CLARO,50409105090,46622011|29332016|59592012,685077160,"R ELIO BOEIRA, 263, VIGORELLI",,SP,3509908,200KG7W|10M0G7W|20M0G7W|5M00D7W,GSM|LTE|WCDMA,1880|955|2630|2650|890,1870|952.5|2620|2630|880,190,Greenfield,não,027331703519|012720905344,16.16|13.52|17.05|14.1,27.0|20.0|28.0|25.0,66.76|68.0|65.49|66.56,1.0,59.3|62.5,012111805894|037621705894|056351705894|039721705894,20.0|19.95|40.0|80.0,-25.01,-47.93389,2019-04-15,2004-12-30,2028-03-31|2027-10-18,20240503,3,190.0,inf
