NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,29272013|47102015|16992008,683646508,"R JOSE DIAS DE CARVALHO,S/N,CENTRO",,SP,3500402,200KG7W|5M00G7W,GSM|LTE|WCDMA,1832.5|1822.5|1820|1830|1825|2135,1830|1820|1805|1827.5|1822.5|2125,35,Greenfield,sim,012740905344,16.5|16.6,30.0,82.28,7.00,44.0,007591301882|005851101882,60.000|60|61.200,-21.94222,-46.72,2017-02-02,2003-09-08,2023-04-30|2031-03-11,20240503,1,35.0,inf
TIM,50010613854,47102015|29272013|16992008,683646508,"R JOSE DIAS DE CARVALHO,S/N,CENTRO",,SP,3500402,200KG7W|5M00G7W,GSM|LTE|WCDMA,1820|1830|1825|1822.5|1832.5|2135,1805|1827.5|1822.5|1820|1830|2125,200,Greenfield,sim,012740905344,16.5|16.6,30.0,82.28,7.00,44.0,007591301882|005851101882,60|60.000|61.200,-21.94222,-46.72,2017-02-02,2003-09-08,2031-03-11|2023-04-30,20240503,3,200.0,inf
