NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,41662008,413160157,"RUA VEREADORA ALICE MARCELO,S/N,VILA CRUZEIRO",,SP,3537503,200KG7W,GSM,891.5|880,890|869,18,,,033201XXX00447,13.8,25.0,90.00,,60.0,009180401065,10.000,-23.075|-23.07472,-47.96861|-47.96833,2008-08-15,1999-12-13,2024-01-20,20240103,1,18.0,0.004375
VIVO,50409146447,41662008,413160157,"RUA VEREADORA ALICE MARCELO,S/N,VILA CRUZEIRO",,SP,3537503,200KG7W,GSM,891.5|880,890|869,262,,,033201XXX00447,13.8,25.0,90.00,,60.0,009180401065,10.000,-23.075|-23.07472,-47.96861|-47.96833,2008-08-15,1999-12-13,2024-01-20,20240103,3,262.0,0.004375
VIVO,50409146447,41662008,413160157,"RUA VEREADORA ALICE MARCELO,S/N,VILA CRUZEIRO",,SP,3537503,200KG7W,GSM,891.5|880,890|869,330,,,000780500706,17.0,20.0,25.00,,45.0,009180401065,10.000,-23.075|-23.07472,-47.96861|-47.96833,2008-08-15,1999-12-13,2024-01-20,20240103,4,330.0,0.004375
VIVO,50409146447,48422023|41662008|97432014|48412023|33992016,689073577,Rua Vereadora Alice Marcelo,,SP,3537503,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,1867.5|874.5|890.75|1862.5|788|2160|2140,1772.5|829.5|845.75|1767.5|733|1970|1950,10|20,Greenfield,sim,000650501705|012720905344|014040601705,17.8|14.5|17|14,25|28,68|65|60|66,16|5|9,49.5|37|58,011691101882|000910502519|083071803257|048811903257|010641001882|008041101882|016571601882|044961602519,20|32.5|40,-23.074925,-47.968583,2023-09-20,2007-03-19,2032-12-22|2024-01-20|2029-12-08|2038-04-30|2026-06-01,20240103,1,10.0,0.004375
VIVO,50409146447,33992016|48412023|41662008|48422023|97432014,689073577,Rua Vereadora Alice Marcelo,,SP,3537503,5M00G7W|10M0G7W|200KG7W,WCDMA|LTE|GSM,2140|2160|874.5|1862.5|1867.5|788|890.75,1950|1970|829.5|1767.5|1772.5|733|845.75,110|120|160,Greenfield,sim,014040601705|012720905344|000650501705,17|14|17.8|14.5,25|28,60|66|65|68,9|16|4|8,58|37|49.5,016571601882|044961602519|083071803257|048811903257|011691101882|000910502519|010641001882|008041101882,40|20|32.5,-23.074925,-47.968583,2023-09-20,2007-03-19,2026-06-01|2038-04-30|2024-01-20|2032-12-22|2029-12-08,20240103,2,160.0,0.004375
VIVO,50409146447,48422023|97432014|41662008|48412023|33992016,689073577,Rua Vereadora Alice Marcelo,,SP,3537503,5M00G7W|10M0G7W|200KG7W,LTE|GSM|WCDMA,1862.5|1867.5|788|874.5|890.75|2160|2140,1767.5|1772.5|733|829.5|845.75|1970|1950,250|265,Greenfield,sim,012720905344|000650501705,17.8|14.5,25,65|68,4|8|16,37|49.5,083071803257|048811903257|011691101882|000910502519|008041101882|010641001882,40|20|32.5,-23.074925,-47.968583,2023-09-20,2007-03-19,2032-12-22|2029-12-08|2024-01-20|2038-04-30|2026-06-01,20240103,3,265.0,0.004375
VIVO,50409146447,33992016|48412023|41662008,689073577,Rua Vereadora Alice Marcelo,,SP,3537503,5M00G7W,WCDMA,2140|2160|874.5,1950|1970|829.5,280,Greenfield,sim,014040601705,17|14,25|28,60|66,9|16,58,016571601882|044961602519,40,-23.074925,-47.968583,2023-09-20,2007-03-19,2026-06-01|2038-04-30|2024-01-20,20240103,4,280.0,0.004375
