NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|48412023|166262022|48422023,687528399,PRAÇA PAULO CASTREQUINI,,SP,3530003,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|890.75|2160|1855|2150|1862.5|1867.5,829.5|845.75|1970|1760|1960|1767.5|1772.5,110,Greenfield,sim,002000703518,17.6|17.5|14.7,28|25,65|60.17|75.66,5|1,24,000910502519|083071803257|000081201882|008041101882,32.5|40,-19.978896,-50.137176,2024-01-03,2005-10-05,2028-11-29,20240103,2,110.0,inf
VIVO,50409146447,155832022|48412023|166262022|48422023,687528399,PRAÇA PAULO CASTREQUINI,,SP,3530003,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|890.75|2160|1855|2150|1862.5|1867.5,829.5|845.75|1970|1760|1960|1767.5|1772.5,190,Greenfield,sim,002000703518,17.6|17.5|14.7,28|25,65|60.17|75.66,5|1,24,000910502519|083071803257|000081201882|008041101882,32.5|40,-19.978896,-50.137176,2024-01-03,2005-10-05,2028-11-29,20240103,3,190.0,inf
VIVO,50409146447,155832022|48412023|166262022|48422023,687528399,PRAÇA PAULO CASTREQUINI,,SP,3530003,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|890.75|2160|1855|2150|1862.5|1867.5,829.5|845.75|1970|1760|1960|1767.5|1772.5,320,Greenfield,sim,002000703518,17.6|17.5|14.7,28|25,65|60.17|75.66,5|0,24,000910502519|083071803257|000081201882|008041101882,32.5|40,-19.978896,-50.137176,2024-01-03,2005-10-05,2028-11-29,20240103,4,320.0,inf
