NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014,688218962,ROD COMANDANTE JOÃO RIBEIRO DE BARROS,0,SP,3519006,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,953.75|798|885,908.75|743|840,160,Greenfield,sim,010090301705|056001603518,16.94|13|14,34.85|23,90|67|62,0,53,011560301882|057731705894|039721705894,47.6|80,-22.00306,-50.39361,2022-06-30,2006-05-03,2028-03-31|2029-12-08,20240503,2,160.0,inf
CLARO,50409105090,46622011|97692014,688218962,ROD COMANDANTE JOÃO RIBEIRO DE BARROS,0,SP,3519006,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,953.75|798|885,908.75|743|840,320,Greenfield,sim,010090301705|056001603518,16.94|13|14,34.85|23,90|67|62,0,53,011560301882|057731705894|039721705894,47.6|80,-22.00306,-50.39361,2022-06-30,2006-05-03,2028-03-31|2029-12-08,20240503,4,320.0,inf
